,trajectory_id,trace_number,longitude (degree_east),latitude (degree_north),date,time_UTC,surface_altitude (m),land_ice_thickness (m),bedrock_altitude (m),two_way_travel_time (m),aircraft_altitude (m),along_track_distance (m),easting,northing,project,geometry
0,18105,,-116.1833,-73.92333,,,40.0,217.0,-619.0,,,,-1577478.5849564092,-775644.662355655,,POINT (-1577478.5849564092 -775644.662355655)
1,18104,,-116.2483,-73.96667,,,39.0,230.0,-892.0,,,,-1572293.5446053147,-775311.3747185688,,POINT (-1572293.5446053147 -775311.3747185688)
2,18103,,-116.2917,-74.025,,,44.0,289.0,-1070.0,,,,-1565915.9393749826,-773641.6300761694,,POINT (-1565915.9393749826 -773641.6300761694)
3,18102,,-116.3417,-74.06834,,,55.0,397.0,-1045.0,,,,-1560940.625796812,-772878.9711455371,,POINT (-1560940.625796812 -772878.9711455371)
4,18101,,-116.3333,-74.11667,,,57.0,420.0,-1270.0,,,,-1556259.4613194442,-770277.0802636516,,POINT (-1556259.4613194442 -770277.0802636516)
5,18100,,-116.3417,-74.16666,,,60.0,454.0,-1340.0,,,,-1551188.3126787564,-768050.2431308989,,POINT (-1551188.3126787564 -768050.2431308989)
6,18099,,-116.3483,-74.215,,,68.0,534.0,-1263.0,,,,-1546306.1028411915,-765854.6846215884,,POINT (-1546306.1028411915 -765854.6846215884)
7,18098,,-116.335,-74.265,,,63.0,485.0,-1343.0,,,,-1541525.4917565517,-763041.38456062,,POINT (-1541525.4917565517 -763041.38456062)
8,18097,,-116.3133,-74.365,,,64.0,503.0,-1263.0,,,,-1531897.544388257,-757553.4314964161,,POINT (-1531897.544388257 -757553.4314964161)
9,18096,,-116.3083,-74.415,,,74.0,602.0,-1205.0,,,,-1527005.876944589,-754968.5687880765,,POINT (-1527005.876944589 -754968.5687880765)
10,18095,,-116.2917,-74.47833,,,75.0,614.0,-772.0,,,,-1520944.9511838274,-751423.6886557454,,POINT (-1520944.9511838274 -751423.6886557454)
11,18094,,-116.285,-74.49333,,,73.0,588.0,-642.0,,,,-1519545.5067783094,-750511.2420435923,,POINT (-1519545.5067783094 -750511.2420435923)
12,18093,,-116.2633,-74.52665999999999,,,95.0,687.0,-592.0,,,,-1516524.4202801734,-748304.7711933872,,POINT (-1516524.4202801734 -748304.7711933872)
13,18092,,-116.245,-74.55666,,,141.0,901.0,-760.0,,,,-1513788.095344546,-746353.4529038832,,POINT (-1513788.095344546 -746353.4529038832)
14,18091,,-116.2417,-74.64,,,258.0,652.0,-394.0,,,,-1505566.6575930237,-742192.1900145266,,POINT (-1505566.6575930237 -742192.1900145266)
15,18090,,-116.2083,-74.70333000000001,,,472.0,690.0,-218.0,,,,-1499718.1664029637,-738222.6982687517,,POINT (-1499718.1664029637 -738222.6982687517)
16,18089,,-116.2217,-74.725,,,509.0,777.0,-268.0,,,,-1497396.7587991636,-737515.113260432,,POINT (-1497396.7587991636 -737515.113260432)
17,18088,,-116.2067,-74.76833,,,575.0,781.0,-206.0,,,,-1493293.1093881063,-735008.2180814939,,POINT (-1493293.1093881063 -735008.2180814939)
18,18087,,-116.1667,-74.8,,,651.0,950.0,-299.0,,,,-1490664.6109593047,-732422.0958754872,,POINT (-1490664.6109593047 -732422.0958754872)
19,18086,,-116.15,-74.84666,,,713.0,954.0,-241.0,,,,-1486249.682622358,-729715.1679320683,,POINT (-1486249.682622358 -729715.1679320683)
20,18085,,-116.1,-74.94334,,,819.0,1025.0,-206.0,,,,-1477293.363973377,-723718.5513258077,,POINT (-1477293.363973377 -723718.5513258077)
21,18084,,-116.1167,-74.99,,,841.0,1355.0,-514.0,,,,-1472454.1707942868,-721880.1082837684,,POINT (-1472454.1707942868 -721880.1082837684)
22,18083,,-116.1617,-75.08833,,,971.0,895.0,76.0,,,,-1462138.7555344896,-718247.8299350402,,POINT (-1462138.7555344896 -718247.8299350402)
23,18082,,-116.2167,-75.18833000000001,,,1085.0,1117.0,-32.0,,,,-1451541.8954944955,-714772.7544614321,,POINT (-1451541.8954944955 -714772.7544614321)
24,18081,,-116.2417,-75.24,,,1138.0,551.0,587.0,,,,-1446113.0250606772,-712883.6094140195,,POINT (-1446113.0250606772 -712883.6094140195)
25,1465411,,-116.2633,-75.29,,,1134.0,560.0,574.0,,,,-1440894.164276393,-710986.2284403794,,POINT (-1440894.164276393 -710986.2284403794)
26,1465412,,-116.1917,-75.13834,,,1028.0,572.0,456.0,,,,-1456806.7967213413,-716575.6979632474,,POINT (-1456806.7967213413 -716575.6979632474)
27,1465413,,-116.1417,-75.03667,,,894.0,1046.0,-152.0,,,,-1467511.3389075624,-720251.2482346455,,POINT (-1467511.3389075624 -720251.2482346455)
28,1465414,,-116.1167,-74.89333,,,764.0,1041.0,-277.0,,,,-1482043.3640807644,-726581.2718413835,,POINT (-1482043.3640807644 -726581.2718413835)
